lineNum,a,b,c,d,e
1,10,30,10,10,10
2,11,31,11,11,11
3,12,32,12,12,12
4,13,33,13,13,13
5,14,34,14,14,14
6,15,35,15,15,15
7,16,36,16,16,16
8,17,37,17,17,17
9,18,38,18,18,18
10,19,39,19,19,19
11,20,40,20,20,20
12,21,41,21,21,21
13,22,42,22,22,22
14,23,43,23,23,23
15,24,44,24,24,24
16,25,45,25,25,25
17,26,46,26,26,26
18,27,47,27,27,27
19,28,48,28,28,28
20,29,49,29,29,29
21,30,50,30,30,30
22,31,51,31,31,31
23,32,52,32,32,32
24,33,53,33,33,33
25,34,54,34,34,34
26,35,55,35,35,35
27,36,56,36,36,36
28,37,57,37,37,37
29,38,58,38,38,38
30,39,59,39,39,39
31,40,60,40,40,40
32,41,61,41,41,41
33,42,62,42,42,42
34,43,63,43,43,43
35,44,64,44,44,44
36,45,65,45,45,45
37,46,66,46,46,46
38,47,67,47,47,47
39,48,68,48,48,48
40,49,69,49,49,49
41,50,70,50,50,50
42,51,71,51,51,51
43,52,72,52,52,52
44,53,73,53,53,53
45,54,74,54,54,54
46,55,75,55,55,55
47,56,76,56,56,56
48,57,77,57,57,57
49,58,78,58,58,58
50,59,79,59,59,59
51,60,80,60,60,60
52,61,81,61,61,61
53,62,82,62,62,62
54,63,83,63,63,63
55,64,84,64,64,64
56,65,85,65,65,65
57,66,86,66,66,66
58,67,87,67,67,67
59,68,88,68,68,68
60,69,89,69,69,69
61,70,90,70,70,70
62,71,91,71,71,71
63,72,92,72,72,72
64,73,93,73,73,73
65,74,94,74,74,74
66,75,95,75,75,75
67,76,96,76,76,76
68,77,97,77,77,77
69,78,98,78,78,78
70,79,99,79,79,79
71,80,100,80,80,80
72,81,101,81,81,81
73,82,102,82,82,82
74,83,103,83,83,83
75,84,104,84,84,84
76,85,105,85,85,85
77,86,106,86,86,86
78,87,107,87,87,87
79,88,108,88,88,88
80,89,109,89,89,89
81,90,110,90,90,90
82,91,111,91,91,91
83,92,112,92,92,92
84,93,113,93,93,93
85,94,114,94,94,94
86,95,115,95,95,95
87,96,116,96,96,96
88,97,117,97,97,97
89,98,118,98,98,98
90,99,119,99,99,99
91,100,120,100,100,100
92,101,121,101,101,101
93,102,122,102,102,102
94,103,123,103,103,103
95,104,124,104,104,104
96,105,125,105,105,105
97,106,126,106,106,106
98,107,127,107,107,107
99,108,128,108,108,108
