lineNum,a,b,c,d,e
1,1,2,2,2,2
2,2,2,2,2,2
3,3,2,2,2,2
4,4,2,2,2,2
5,5,2,2,2,2
6,6,2,2,2,2
7,7,2,2,2,2
8,8,2,2,2,2
9,9,2,2,2,2
10,10,2,2,2,2
11,11,2,2,2,2
12,12,2,2,2,2
13,13,2,2,2,2
14,14,2,2,2,2
15,15,2,2,2,2
16,16,2,2,2,2
17,17,2,2,2,2
18,18,2,2,2,2
19,19,2,2,2,2
20,20,2,2,2,2
21,21,2,2,2,2
22,22,2,2,2,2
23,23,2,2,2,2
24,24,2,2,2,2
25,25,2,2,2,2
26,26,2,2,2,2
27,27,2,2,2,2
28,28,2,2,2,2
29,29,2,2,2,2
30,30,2,2,2,2
31,31,2,2,2,2
32,32,2,2,2,2
33,33,2,2,2,2
34,34,2,2,2,2
35,35,2,2,2,2
36,36,2,2,2,2
37,37,2,2,2,2
38,38,2,2,2,2
39,39,2,2,2,2
40,40,2,2,2,2
41,41,2,2,2,2
42,42,2,2,2,2
43,43,2,2,2,2
44,44,2,2,2,2
45,45,2,2,2,2
46,46,2,2,2,2
47,47,2,2,2,2
48,48,2,2,2,2
49,49,2,2,2,2
50,50,2,2,2,2
51,51,2,2,2,2
52,52,2,2,2,2
53,53,2,2,2,2
54,54,2,2,2,2
55,55,2,2,2,2
56,56,2,2,2,2
57,57,2,2,2,2
58,58,2,2,2,2
59,59,2,2,2,2
60,60,2,2,2,2
61,61,2,2,2,2
62,62,2,2,2,2
63,63,2,2,2,2
64,64,2,2,2,2
65,65,2,2,2,2
66,66,2,2,2,2
67,67,2,2,2,2
68,68,2,2,2,2
69,69,2,2,2,2
70,70,2,2,2,2
71,71,2,2,2,2
72,72,2,2,2,2
73,73,2,2,2,2
74,74,2,2,2,2
75,75,2,2,2,2
76,76,2,2,2,2
77,77,2,2,2,2
78,78,2,2,2,2
79,79,2,2,2,2
80,80,2,2,2,2
81,81,2,2,2,2
82,82,2,2,2,2
83,83,2,2,2,2
84,84,2,2,2,2
85,85,2,2,2,2
86,86,2,2,2,2
87,87,2,2,2,2
88,88,2,2,2,2
89,89,2,2,2,2
90,90,2,2,2,2
91,91,2,2,2,2
92,92,2,2,2,2
93,93,2,2,2,2
94,94,2,2,2,2
95,95,2,2,2,2
96,96,2,2,2,2
